tank1,tank2,tank3,target
75.454290,20.624770,90.255290,1
50.525240,165.291490,32.004960,2
89.552320,77.840340,1.083770,2
90.538200,18.257340,31.931360,1
95.006200,190.121430,57.343790,3
63.183720,89.689100,29.321080,2
32.866450,134.503690,75.237450,0
79.157900,157.923630,9.120610,2
49.442030,11.511750,54.952890,1
44.153050,177.540840,35.091500,2
11.706700,28.598340,76.151060,0
61.821810,20.224540,8.410680,2
70.096910,14.552600,82.186010,1
70.624220,16.269760,8.483770,2
98.663960,74.854160,37.064210,2
81.279960,189.449720,98.600110,3
75.337820,75.251920,8.350070,2
77.714690,111.680850,42.422200,2
90.635440,22.239500,49.262510,1
1.135360,93.732130,5.630330,0
11.881790,23.505250,64.921030,0
74.604490,116.673750,96.217250,3
37.487060,57.142420,86.859910,0
22.359580,192.644510,1.215450,2
96.987880,8.631980,89.114310,1
52.770110,198.592960,7.379660,2
55.385430,193.860510,52.309780,3
62.939860,139.149740,45.454110,2
62.755810,116.862860,90.115800,3
4.544640,56.192640,95.041150,0
89.026380,91.131350,62.013260,3
27.738120,37.624230,46.369840,0
35.335220,116.731220,7.773460,2
97.439480,197.242150,69.816170,3
53.609640,61.905520,81.379500,3
68.473120,32.523390,91.092720,1
82.253720,189.959980,72.571950,3
61.341520,83.648610,93.272850,3
86.606390,9.043730,2.636700,2
37.646340,162.110670,98.727610,0
15.041690,118.826140,38.089090,0
96.991440,168.423780,83.832870,3
46.869320,82.963900,27.340710,2
5.637550,172.944480,81.290100,0
99.971770,199.327370,55.543170,3
76.898740,188.953150,84.964740,3
24.734810,90.108830,12.915940,2
95.405100,121.234930,22.864280,2
67.170070,123.625650,35.816270,2
11.355760,134.314640,52.030770,0
77.231840,104.032700,85.218150,3
55.190680,112.187590,87.665360,3
40.348290,26.803050,2.878270,2
75.513730,124.061910,70.407980,3
21.296420,27.274300,1.454470,2
35.058760,117.983540,39.224400,0
43.747490,180.831740,34.825550,2
51.398950,156.730600,39.654280,2
62.208670,172.472740,94.952060,3
14.707350,185.317530,49.211630,0
25.824440,91.827150,98.003260,0
49.261810,65.750320,63.340090,0
24.014560,15.172670,12.887970,2
12.804580,30.380540,13.882720,0
64.087470,36.376020,34.566730,2
89.678840,94.792330,66.755770,3
17.231990,38.457800,4.086860,2
16.893510,55.718070,17.701050,0
8.870250,24.127170,46.077880,0
20.633370,72.853970,50.341730,0
69.039480,7.862430,79.941040,1
62.790040,16.351810,87.357860,1
92.087240,12.215590,27.687760,1
80.620130,149.651940,18.452100,2
20.934930,74.094420,48.452300,0
61.825480,73.782730,46.253470,2
74.747090,7.336640,25.243690,1
71.334960,179.041370,51.167740,3
53.211350,21.434400,44.741240,1
53.261730,48.494100,26.924320,2
37.728420,4.014240,32.207920,1
21.144800,65.499470,11.976210,2
89.052730,118.718490,67.910230,3
78.917120,99.688440,8.692030,2
53.710650,117.368220,74.543950,3
43.165950,25.516060,28.377590,1
36.308230,129.183450,57.077830,0
35.609670,197.303050,60.577480,0
23.722680,20.356490,15.285910,2
24.595770,32.136270,18.656700,2
28.509520,34.674720,89.676540,0
8.023370,104.902280,41.039680,0
98.237860,22.407780,39.785560,1
96.947040,173.101430,81.707210,3
25.790280,34.177520,66.864320,0
92.937600,111.352580,57.161270,3
27.997910,153.898590,18.704370,2
32.367920,85.087290,50.761040,0
24.240970,22.967360,61.062000,1
28.863060,116.247640,15.436270,2
48.114010,106.517890,5.182350,2
33.660430,26.882940,6.337500,2
98.996020,64.470770,80.987440,1
25.464070,136.300540,76.022790,0
59.563870,94.315240,41.184090,2
34.886830,185.905830,83.061940,0
96.502690,24.859440,73.086750,1
93.834050,36.246610,6.649630,2
74.112060,114.894620,84.182880,3
13.977240,159.053460,20.162730,0
16.365590,32.853160,81.457470,0
66.519720,104.613080,35.883050,2
87.720050,78.489020,81.659940,1
43.913490,75.388890,46.267980,0
30.137790,149.521880,50.272040,0
23.221270,179.914910,38.389120,0
54.355290,181.294420,62.423800,3
11.689800,187.966420,62.770810,0
33.490560,27.854410,79.402520,1
62.007280,106.692220,89.389260,3
78.859720,30.334980,31.172210,1
24.848910,148.789260,3.353240,2
56.988970,152.491740,87.676560,3
34.208170,164.251460,11.063170,2
84.645230,25.497730,39.728730,1
79.729540,29.983490,22.925140,2
72.225260,144.007310,64.114760,3
69.394840,108.544890,25.179910,2
34.569600,36.319540,90.845060,0
58.339180,80.170280,46.200580,2
94.728330,30.670280,58.622980,1
50.588870,122.290850,1.811020,2
87.212390,186.423660,56.513320,3
69.665080,184.499880,70.723860,3
15.253900,115.257670,60.671500,0
42.413070,147.288850,93.436700,0
92.556850,90.167870,11.323800,2
98.484120,167.779620,12.466270,2
92.084190,173.979270,51.883810,3
59.127540,79.800540,5.476160,2
33.519720,160.570690,0.463200,2
33.349920,79.633740,53.739560,0
91.985560,69.269200,34.695320,2
73.750120,90.443590,22.460480,2
45.243950,28.171400,17.638700,2
49.836780,83.785090,91.484590,0
36.239390,116.117670,63.226430,0
1.309450,132.707470,17.803600,0
96.107030,29.732550,41.462410,1
8.534970,199.374850,50.219500,0
59.538500,13.415300,74.996050,1
20.990560,179.610860,20.513960,2
19.068770,7.309930,47.206690,1
56.484110,13.141730,77.552760,1
45.328880,104.878050,44.076270,2
40.076310,111.928070,15.524020,2
18.192810,172.357120,94.611550,0
37.330930,54.148930,64.399950,0
40.873420,5.077270,15.615260,1
71.597220,131.784790,2.709600,2
22.197220,46.214960,67.189270,0
1.971050,20.821720,79.991610,0
17.854470,130.549220,23.818280,0
9.944140,48.634440,72.226690,0
85.569650,166.043970,39.718350,2
66.808510,40.996860,29.314770,2
89.633580,2.600380,8.550850,1
20.788630,5.306440,18.143540,1
58.304160,84.284910,89.267170,3
81.744360,68.363470,25.942340,2
37.969240,118.058990,26.806360,2
62.414890,81.882330,55.204720,3
43.612650,58.893150,94.845330,0
76.360580,28.022640,86.846800,1
48.743120,178.910450,79.985530,0
42.521350,4.493860,26.867740,1
54.163420,126.695640,25.788770,2
13.935610,166.986050,98.440220,0
52.569020,34.335860,27.230730,2
1.839070,182.859760,11.775110,0
57.651650,54.811040,55.417800,1
65.142040,165.948360,20.642130,2
1.099580,27.377130,90.001860,0
87.389010,119.482620,60.051690,3
66.503670,35.074260,91.441190,1
41.877050,76.627710,51.891770,0
4.696600,33.256670,73.803360,0
8.279870,120.630420,24.534910,0
38.929560,57.738750,35.567270,2
71.904590,59.424340,56.640460,3
47.605040,132.734230,93.682970,0
73.257210,42.988080,3.118310,2
26.226400,119.015590,5.142580,2
49.636620,119.368570,33.424390,2
77.091220,21.319650,7.513780,2
72.818880,99.098260,68.840240,3
43.482730,49.280410,81.910230,0
79.941590,138.939290,27.214510,2
59.023070,72.194780,9.158210,2
91.731360,27.363730,95.023740,1
44.600580,37.026590,54.190090,1
87.294580,146.444980,80.656110,3
65.878340,138.455310,84.919570,3
24.966800,97.884990,22.120940,2
98.766800,188.811870,3.942680,2
70.557520,185.049660,18.057530,2
56.794520,183.097660,3.394600,2
69.742030,59.469800,92.439620,1
97.105820,188.853300,47.421420,2
86.204270,168.909880,31.910050,2
82.891550,7.401530,59.626990,1
23.000880,24.113380,7.695320,2
69.628880,67.974990,72.476680,1
6.535630,63.058070,53.949130,0
79.072320,63.750500,62.589140,3
88.597770,123.172640,23.295950,2
2.440080,174.019770,2.126940,2
87.470170,105.787430,93.906770,3
79.878320,199.586820,35.071180,2
76.718830,80.386180,47.987560,2
62.750550,174.735420,98.408350,3
76.827340,83.553360,42.135700,2
73.758230,47.755430,11.047410,2
35.462220,57.447800,29.630810,2
23.360780,8.418640,1.787390,2
98.772240,85.554630,38.432660,2
67.964730,43.650780,94.996120,1
78.634500,17.882200,41.758080,1
87.911830,188.946400,46.740150,2
61.341140,33.406790,99.116860,1
23.167170,188.546350,64.964660,0
60.773680,102.537700,23.066980,2
17.652800,44.097240,18.643830,0
77.958450,70.025050,5.784270,2
96.910260,176.757180,92.775230,3
99.490780,34.779050,39.624200,1
75.823850,139.204120,15.389590,2
81.583310,44.888110,22.381760,2
53.697440,118.587990,58.008620,3
9.148680,175.492170,26.560000,0
12.951490,177.749620,95.565150,0
86.212760,161.903210,65.524200,3
55.085740,17.397350,40.845320,1
37.268850,51.950760,72.342010,0
49.587570,16.209240,22.018320,1
68.325880,15.226170,85.120690,1
49.514650,96.117320,59.240780,0
82.468100,69.561840,67.801620,3
56.573200,53.405650,87.863000,1
79.742600,131.690370,85.058170,3
86.729420,141.672600,83.701330,3
69.747150,136.028150,61.861140,3
75.271660,31.721020,88.087080,1
87.184350,5.849460,82.581680,1
12.886990,67.023770,74.350830,0
16.075990,163.593400,83.213420,0
50.746770,1.277170,28.703810,1
61.692690,196.237240,63.181350,3
25.980360,126.801140,53.998540,0
77.984540,21.396130,76.102790,1
54.126660,192.598400,34.187220,2
63.262190,186.405620,10.250970,2
93.722850,137.577140,6.783710,2
30.096360,141.634420,6.735060,2
58.217050,69.176610,62.091550,3
4.574200,174.307360,97.348900,0
96.887790,149.930370,13.008620,2
75.826320,4.917380,2.212360,2
32.361020,97.728640,77.040740,0
68.329540,89.180540,27.362670,2
99.712450,85.236260,45.138700,2
16.362380,158.961910,69.368220,0
22.076960,16.476210,68.049930,1
65.451120,54.651910,95.086360,1
15.105790,86.466960,94.361590,0
41.972730,127.705190,39.759440,2
27.421520,196.795530,40.933400,0
89.409920,45.990920,21.310470,2
3.113410,130.333370,36.852630,0
86.435820,94.641980,96.819340,3
18.552550,173.724630,77.659690,0
77.092180,168.956650,76.102400,3
62.622030,26.248980,3.252620,2
92.084780,123.330060,79.653730,3
48.152240,23.461640,12.518580,2
68.556530,86.061180,20.052470,2
49.159450,12.841790,58.197140,1
26.899340,159.511820,31.036200,0
45.522010,2.324110,7.244690,1
39.249360,95.987770,60.002050,0
29.166260,138.996380,86.012240,0
77.985100,7.923770,48.050690,1
10.493020,48.409000,98.666260,0
14.249550,99.777630,61.815570,0
70.246500,111.929740,0.977080,2
32.646130,103.542330,8.786650,2
35.062690,6.640620,7.857850,1
39.692330,26.543150,56.754080,1
68.946500,160.117340,20.015020,2
16.748260,20.913570,63.643020,0
70.647570,6.317230,93.621220,1
5.197130,108.259270,70.906050,0
87.096910,142.817390,80.172810,3
33.945020,162.965020,8.011480,2
89.481670,109.518480,81.729780,3
45.231830,128.715540,52.640270,0
73.158950,16.326000,6.035210,2
24.710320,31.908940,87.178360,0
21.921400,195.173050,33.689580,0
18.211790,157.939700,65.870780,0
49.819570,111.072710,71.920180,0
22.845470,199.266780,97.479320,0
65.032570,39.908490,68.022820,1
7.219840,6.130500,25.768290,1
46.262300,173.654500,72.716910,0
74.270650,85.098670,34.593500,2
37.103880,197.529910,4.010920,2
86.703150,115.735080,43.861540,2
72.525770,97.333790,87.342320,3
90.070190,84.344190,27.682780,2
59.235030,182.472670,21.066220,2
62.296660,126.312040,73.311300,3
13.156770,143.164990,90.903250,0
17.968310,47.508660,97.139510,0
18.097700,170.877020,49.227790,0
24.723110,174.149980,44.530530,0
51.481740,71.846670,59.295090,3
16.352390,78.216310,96.941230,0
25.813340,131.347330,32.519010,0
77.347310,26.174730,96.982100,1
45.378950,47.210090,7.349670,2
16.975790,103.954790,33.700320,0
82.888340,86.177500,24.871430,2
61.714500,141.355440,16.704190,2
16.761920,7.334290,73.640200,1
66.380450,94.926180,84.417040,3
80.567020,117.070870,86.827130,3
20.584120,22.383920,26.974960,0
5.708690,106.233910,93.660570,0
3.934350,24.421980,45.219900,0
93.387500,63.231220,50.723480,3
4.157290,29.668640,98.663010,0
96.511870,0.988000,95.181180,1
63.911990,173.583660,45.473990,2
51.559600,97.769320,66.686430,3
13.965130,5.994720,30.792990,1
70.468080,40.370690,67.343240,1
96.991200,18.780140,67.260210,1
44.375020,173.628450,17.714980,2
69.262600,167.623060,94.461420,3
68.324800,99.434950,61.784720,3
86.890500,114.121950,3.038710,2
93.094870,137.905350,67.651340,3
21.567520,131.777090,39.386440,0
65.123300,21.318610,65.784530,1
99.941370,9.642410,97.717420,1
40.690800,174.150690,78.238550,0
56.701630,147.689840,87.851560,3
40.414030,65.406630,66.759340,0
80.784590,152.457030,79.781360,3
43.558330,163.566840,12.020910,2
54.448910,1.151730,32.458580,1
36.646150,79.234540,69.546720,0
38.855810,89.738720,23.754410,2
37.325180,45.453930,7.319590,2
60.344860,133.642560,61.949030,3
46.349400,75.957160,86.333360,0
51.908180,95.836380,2.564210,2
34.124780,76.039120,39.882280,0
58.017240,106.720510,60.790510,3
76.488330,162.597150,71.812310,3
95.552370,3.646520,19.577800,1
0.756290,129.494940,89.803050,0
24.348230,185.406910,6.026740,2
93.443600,70.324540,10.142080,2
48.587180,51.355310,28.487290,2
30.729000,160.605180,53.916130,0
31.130770,122.066760,71.615070,0
27.262400,82.709820,12.188610,2
18.114930,136.223570,18.143830,0
52.516340,141.809250,10.687690,2
56.731220,51.312560,96.292690,1
48.354560,161.198510,55.022650,0
4.341250,126.630280,95.140330,0
60.161180,163.837770,88.420650,3
22.807980,42.408970,61.098100,0
41.102850,167.972260,90.002310,0
35.342140,47.374110,78.052550,0
27.480600,164.522860,42.373830,0
66.754990,19.107060,62.385930,1
45.176770,117.321690,16.801420,2
73.687370,172.559420,21.673980,2
9.571460,4.727720,64.197150,1
60.709400,109.339480,23.194710,2
39.090600,118.895270,49.676690,0
98.778550,27.287950,69.514460,1
40.431880,85.639920,71.759780,0
69.243620,198.251200,12.839430,2
10.410960,144.867760,57.838690,0
27.416070,15.883870,8.565820,2
89.419090,38.373460,32.337160,2
22.665640,70.999260,6.942380,2
51.905980,13.522510,80.035650,1
23.371210,108.002380,88.007910,0
65.087740,106.591560,32.433380,2
33.300190,133.897390,99.413940,0
66.183920,111.556680,73.065050,3
46.520560,12.028470,56.229680,1
95.762530,35.060590,69.000490,1
20.093370,107.165540,9.667640,2
45.037090,151.232670,34.757150,2
66.491170,159.089990,92.717780,3
23.464210,79.863180,15.241600,2
99.248350,185.400190,53.995710,3
84.203330,104.191600,62.358570,3
8.912440,151.054080,12.771350,0
82.606760,156.405620,70.874470,3
3.616040,60.625670,26.311260,0
36.013640,17.528550,93.695780,1
55.380220,61.104860,39.698150,2
44.720250,120.118870,51.567940,0
91.939200,99.392700,99.215800,3
85.142500,41.702100,93.059520,1
11.636640,163.489940,38.062330,0
87.797430,173.611340,80.592540,3
79.003040,60.935830,8.091930,2
40.298020,34.704900,69.495110,1
34.609970,195.122040,64.097210,0
82.248060,26.504930,86.201450,1
92.275720,97.412380,60.625290,3
76.480980,34.967730,50.256610,1
39.866300,29.274800,36.753440,1
6.817230,5.162380,13.516630,1
96.311510,109.905910,96.582220,3
43.249790,62.363230,50.614190,0
43.951170,21.132940,64.082630,1
21.603820,123.917590,65.020110,0
15.202490,12.269930,78.076160,1
45.980040,11.632760,99.486630,1
5.778060,139.007050,98.367890,0
23.918010,28.449870,12.138490,2
30.327510,20.209160,69.216130,1
6.229180,101.884430,99.669690,0
81.397030,123.043890,30.625360,2
62.389580,105.408290,42.608340,2
13.071040,177.320840,44.978460,0
19.462250,73.551870,41.412980,0
82.753790,146.722880,76.930490,3
1.103130,83.230800,48.134420,0
1.919230,51.962640,76.028980,0
13.710970,107.062030,21.520190,0
1.212080,48.240290,97.587380,0
80.153710,191.915330,48.785400,2
10.973620,109.591900,45.437730,0
84.435710,19.616520,48.824110,1
15.004870,64.935190,73.735710,0
47.601810,75.177660,39.447630,2
45.944680,157.003310,89.208470,0
95.533470,157.380680,31.540690,2
68.813470,87.520620,25.467060,2
84.087160,7.685270,90.176200,1
46.147750,127.440300,65.935390,0
89.511770,127.333940,61.393360,3
6.665200,103.681600,15.016900,0
73.743380,102.444380,68.022780,3
4.167290,16.958400,71.632340,0
7.208430,14.251350,1.210850,2
95.650140,147.501670,35.325140,2
29.653560,69.940650,77.465350,0
66.137060,37.039110,17.410930,2
9.839560,132.060540,76.437270,0
26.504640,4.188990,8.217170,1
96.786000,59.088960,76.922310,1
62.466360,76.387930,20.568730,2
12.138640,123.002590,77.463380,0
64.390430,106.060430,4.195120,2
96.848880,159.742840,29.282200,2
97.997030,120.376320,58.242270,3
74.807320,162.353960,65.647860,3
12.809570,67.653500,92.808360,0
22.461560,74.433400,43.207690,0
43.940500,122.587920,94.307580,0
24.069270,24.300280,19.747050,2
88.692490,129.162160,28.590680,2
81.594690,172.274000,84.651430,3
91.892650,50.448200,75.504190,1
46.053950,168.399710,72.849070,0
77.644740,131.232370,17.742880,2
54.502690,196.933950,93.738810,3
4.317370,32.962960,13.172880,0
72.597990,163.557070,21.351140,2
50.585270,168.140610,73.280150,3
54.223720,118.069540,50.836050,3
29.754850,113.004400,68.888530,0
87.332290,127.258270,76.112150,3
16.007160,92.311490,0.933160,2
24.667890,145.292340,99.181000,0
9.917810,80.298860,80.007100,0
20.403560,111.016990,73.307130,0
61.598550,37.604950,35.538460,2
78.379180,110.845300,0.522960,2
76.099080,7.062270,74.573380,1
20.248060,191.614700,36.794080,0
32.693160,29.777610,30.560420,1
87.665080,199.266870,36.830950,2
44.861060,144.414190,88.619580,0
59.304430,78.305140,41.262180,2
69.561810,0.643650,61.958930,1
35.549300,158.839470,9.299060,2
58.820230,96.194580,64.232550,3
6.485360,115.996760,56.148460,0
56.066010,120.697530,67.646790,3
80.498900,53.964140,82.504940,1
49.825570,15.411660,5.855090,2
33.423830,156.979400,70.768090,0
78.861500,103.453810,44.019900,2
14.745250,65.638550,43.401940,0
8.860040,44.122390,59.822530,0
73.566310,199.669500,93.311330,3
64.256520,84.249610,63.617740,3
78.565160,23.667240,40.990490,1
83.980230,76.766590,57.187230,3
58.776940,36.895250,36.223540,2
33.451130,5.239340,2.419180,2
83.169700,54.614160,51.807880,3
29.872560,188.135850,25.929680,2
42.965680,174.546050,84.193360,0
18.610140,160.528660,45.818690,0
48.296890,26.695990,8.060150,2
72.793930,99.292230,43.685070,2
72.950820,153.102580,15.890820,2
61.022510,27.070820,75.137510,1
65.695520,191.322920,6.895800,2
5.705470,56.437410,26.170570,0
24.697880,181.250920,24.954620,0
27.194970,151.879650,44.973980,0
77.671060,13.073230,48.757120,1
3.361360,12.530640,90.643750,0
13.924540,106.484140,41.109560,0
34.734330,179.966670,2.182340,2
66.378970,192.678890,56.016820,3
93.682250,10.451580,41.879330,1
26.015780,146.164190,98.129710,0
25.653010,130.834920,19.809760,2
56.533030,92.786500,97.200530,3
60.852730,69.901270,11.409580,2
15.124680,45.063390,25.096670,0
85.061610,112.244560,52.339090,3
11.476890,172.027940,72.281430,0
6.766840,141.567020,54.353820,0
8.172530,91.660130,48.469630,0
16.577450,189.139630,84.997540,0
66.902230,92.459110,41.176550,2
65.097350,109.086370,6.227310,2
51.250260,161.280720,45.923990,2
5.195660,157.255640,20.136380,0
25.862080,32.941270,33.021510,0
75.675150,103.877170,20.488130,2
87.783010,175.916370,87.057840,3
23.879620,90.247870,98.498970,0
77.201250,5.433480,6.520460,1
46.393140,181.844040,53.870180,0
49.781250,21.094740,65.678010,1
82.210320,76.084000,77.561190,1
96.447670,40.753290,52.332960,1
28.713800,158.570880,57.759340,0
63.458240,159.582830,39.597050,2
91.509010,106.605770,15.795480,2
69.589910,158.652270,31.676170,2
85.717930,181.228650,27.690450,2
98.352150,28.142310,20.201570,2
18.422480,178.797940,65.429260,0
15.210430,88.064680,61.529800,0
8.346410,176.483270,80.360350,0
50.520680,193.425320,41.776100,2
98.411030,133.584000,63.467130,3
16.595490,176.385550,42.748970,0
16.223340,2.521500,55.975570,1
52.739960,143.870720,89.025810,3
7.940660,146.299300,18.741190,0
85.817710,163.812700,54.079380,3
71.024280,62.870020,47.116790,2
82.163690,91.853040,35.779830,2
49.421240,165.649850,33.520800,2
17.376160,142.402800,82.597820,0
10.063750,47.974820,14.197200,0
34.794140,90.070200,74.882630,0
65.114760,124.185710,35.237490,2
84.144760,94.257430,97.910490,3
63.414210,25.252950,67.617760,1
32.510400,137.265440,6.964110,2
17.488140,171.147450,22.717960,0
83.704110,55.855220,64.288190,1
69.415060,102.530950,30.531070,2
21.264440,6.637870,30.394640,1
65.316280,187.660960,87.120450,3
76.606480,157.689470,66.498490,3
26.028690,181.439010,67.073230,0
56.044060,22.197890,44.705550,1
46.035830,172.912720,54.664820,0
38.040050,195.360070,11.072060,2
42.254840,8.404940,73.990410,1
91.807660,56.007470,85.834170,1
29.221820,182.154030,75.396190,0
80.490680,3.601310,96.281040,1
72.667100,60.950220,82.939470,1
28.152120,174.550770,11.258040,2
70.368600,108.139700,9.653450,2
24.189380,2.480810,46.876800,1
30.126530,119.671500,29.723780,2
29.991910,148.638640,4.814280,2
90.289500,170.452770,66.780470,3
59.322160,178.460500,18.533020,2
7.896920,47.902030,79.457830,0
3.467030,116.561370,99.543750,0
85.569610,104.289140,6.364090,2
83.137350,119.795700,11.493300,2
9.385730,181.925360,66.920030,0
82.928680,175.795780,57.177240,3
51.744640,86.085480,31.694660,2
43.459600,154.775930,60.192340,0
89.252330,88.676000,60.708960,3
63.130760,118.339430,70.263380,3
23.743350,102.472760,10.422480,2
38.451130,97.533410,65.222430,0
95.053110,120.130210,74.359390,3
50.626610,126.820810,7.093220,2
25.439160,72.370620,47.249340,0
4.564870,28.004820,27.681430,0
97.153270,66.269400,48.204110,2
19.609770,122.156010,28.068320,0
20.699260,103.314530,0.550580,2
0.766400,43.813760,3.672140,0
10.802580,67.772130,80.258570,0
57.204860,102.533550,29.348880,2
93.175370,79.403010,8.709280,2
61.706650,22.767680,34.522310,1
50.741190,174.844500,49.354660,2
70.225880,198.563370,13.148910,2
27.473150,78.915220,42.182820,0
41.102110,181.522200,71.403260,0
60.790520,61.874540,82.379040,3
95.506050,164.239660,0.156510,2
63.640140,10.227080,25.760720,1
5.952470,120.759090,68.658990,0
11.448760,76.767780,45.623650,0
36.905300,24.205000,41.894780,1
75.117800,14.201530,8.018000,2
35.477130,188.345140,66.857260,0
67.867000,72.384000,59.366080,3
1.013120,127.219210,91.328690,0
61.257350,174.739720,72.397310,3
12.055840,180.490660,6.644380,2
53.396750,28.427420,1.170660,2
42.203430,59.008140,48.600050,0
57.719990,8.747810,12.300330,1
55.864240,68.633470,72.917350,3
65.229160,169.120870,69.249280,3
42.993110,134.593320,27.538120,2
30.631350,157.797030,44.641950,0
79.838030,164.484470,85.756230,3
91.663520,86.197040,31.886680,2
58.219870,74.234480,60.107420,3
70.558590,137.681000,37.455290,2
16.686020,86.105870,14.259410,2
89.009700,69.175490,15.445970,2
2.544780,129.164480,63.690230,0
34.060420,14.342380,40.962890,1
31.121750,135.424130,60.577920,0
36.459370,43.578510,98.803600,0
45.400160,137.654850,14.055300,2
48.558970,5.507340,50.545510,1
96.401740,76.841340,3.899600,2
3.095580,77.597350,16.002490,0
2.335210,151.242720,45.852300,0
28.924480,180.016640,11.613900,2
95.591880,62.793340,88.840370,1
60.294290,165.341470,98.401320,3
28.840540,192.227100,38.948190,0
38.551190,68.077420,54.140760,0
15.414500,110.742300,54.170480,0
76.190180,166.729990,44.044140,2
30.233320,51.866980,19.462380,2
5.764760,68.489600,27.024770,0
96.641740,111.541770,34.727700,2
58.046760,27.839340,44.404370,1
62.623430,97.779570,40.177880,2
99.384840,176.062950,62.340600,3
